fdc_id,food,carbs,calories,fiber,protein,fat
321900,"Broccoli, raw",6.29,82.0,2.4,2.57,0.34
321903,"MILK, 1%",0.0,0.0,0.0,0.0,1.07
322024,"MILK, SKIM ",0.0,0.0,0.0,0.0,1.12
322035,"MILK, 1% ",0.0,0.0,0.0,0.0,1.14
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",5.19,111.0,0.0,3.38,0.95
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.89,88.5,0.0,3.43,0.08
322562,"MILK, WHOLE ",0.0,0.0,0.0,0.0,3.34
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",4.67,156.0,0.0,3.28,3.2
322896,Hot dogs beef,0.0,0.0,0.0,0.0,26.9
323121,"Frankfurter, beef, unheated",2.89,812.0,0.0,11.7,28.0
323127,Almonds dry roasted salted,0.0,0.0,0.0,0.0,59.6
323157,"Almonds, dry roasted, salted - NFY1213KL",0.0,0.0,10.6,0.0,0.0
323174,"Almonds, dry roasted, salted - NFY1213JZ",0.0,0.0,10.9,0.0,0.0
323200,"Almonds, dry roasted, salted - NFY1213J8",0.0,0.0,10.7,0.0,0.0
323225,"Almonds, dry roasted, salted - NFY1213IK",0.0,0.0,11.0,0.0,0.0
323244,"Almonds, dry roasted, salted - NFY1213I4",0.0,0.0,11.5,0.0,0.0
323261,"Almonds, dry roasted, salted - NFY1213LG",0.0,0.0,11.3,0.0,0.0
323276,"Almonds, dry roasted, salted - NFY1213L0",0.0,0.0,11.2,0.0,0.0
323290,"Almonds, dry roasted, salted - NFY1213M2",0.0,0.0,10.8,0.0,0.0
323294,"Nuts, almonds, dry roasted, with salt added",16.2,1605.0,11.0,20.4,57.8
323300,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",0.0,0.0,0.0,0.0,11.2
323308,"CHEESE, RICOTTA, WHOLE MILK, SORRENTO",0.0,0.0,0.0,0.0,8.2
323347,"CHEESE, RICOTTA, WHOLE MILK, POLLY-O",0.0,0.0,0.0,0.0,11.5
323367,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",0.0,0.0,0.0,0.0,11.5
323384,"CHEESE, RICOTTA, WHOLE MILK, LUCERNE",0.0,0.0,0.0,0.0,11.9
323444,"Cheese, ricotta, whole milk",6.86,407.0,0.0,7.81,11.0
323448,Kale - NFY1212EC,0.0,0.0,0.0,0.0,1.49
323454,Kale - NFY1212CI,0.0,0.0,0.0,0.0,1.56
323461,Kale - NFY1212DW,0.0,0.0,0.0,0.0,1.45
323466,Kale - NFY1212DX,0.0,0.0,4.0,0.0,0.0
323476,Kale - NFY1212CY,0.0,0.0,0.0,0.0,1.43
323483,Kale - NFY1212D0,0.0,0.0,4.2,0.0,0.0
323493,Kale - NFY1212ES,0.0,0.0,0.0,0.0,1.51
323505,"Kale, raw",4.42,91.5,4.1,2.92,1.49
323511,Whole eggs,0.0,0.0,0.0,0.0,11.5
323604,"Egg, whole, raw, frozen, pasteurized",0.91,388.5,0.0,12.3,10.3
323608,Egg whites,0.0,0.0,0.0,0.0,0.1
323697,"Egg, white, raw, frozen, pasteurized",0.74,124.5,0.0,10.1,0.16
323703,"Egg whites, dried",0.0,0.0,0.0,0.0,0.34
323793,"Egg, white, dried",6.02,973.0,0.0,79.9,0.65
323800,Salsa,0.0,0.0,0.0,0.0,0.3
323893,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVT",0.0,0.0,0.0,0.0,0.1
323895,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVU",0.0,0.0,1.8,0.0,0.0
323902,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVK",0.0,0.0,0.0,0.0,0.2
323904,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVL",0.0,0.0,1.9,0.0,0.0
323911,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUN",0.0,0.0,0.0,0.0,0.1
323913,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUO",0.0,0.0,2.0,0.0,0.0
323922,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU1",0.0,0.0,0.0,0.0,0.2
323927,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU4",0.0,0.0,1.8,0.0,0.0
323939,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KUZ",0.0,0.0,0.0,0.0,0.2
323943,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KV2",0.0,0.0,1.9,0.0,0.0
323955,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW5",0.0,0.0,0.0,0.0,0.2
323960,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW8",0.0,0.0,1.9,0.0,0.0
323969,"Proximates, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXG",0.0,0.0,0.0,0.0,0.1
323971,"TDF, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXH",0.0,0.0,1.9,0.0,0.0
323979,"Proximates, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWU",0.0,0.0,0.0,0.0,0.2
323984,"TDF, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWX",0.0,0.0,1.8,0.0,0.0
323996,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXS",0.0,0.0,0.0,0.0,0.2
324000,"TDF, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXV",0.0,0.0,1.9,0.0,0.0
324009,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYD",0.0,0.0,0.0,0.0,0.1
324011,"TDF, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYE",0.0,0.0,1.8,0.0,0.0
324018,"Proximates, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYM",0.0,0.0,0.0,0.0,0.2
324020,"TDF, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYN",0.0,0.0,1.7,0.0,0.0
324029,"Proximates, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KYY",0.0,0.0,0.0,0.0,0.2
324034,"TDF, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KZ1",0.0,0.0,1.8,0.0,0.0
324038,"Sauce, salsa, ready-to-serve",6.74,75.5,1.8,1.44,0.19
324051,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",0.0,0.0,0.0,0.0,29.7
324062,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",0.0,0.0,0.0,0.0,25.4
324146,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",0.0,0.0,0.0,0.0,32.5
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",3.37,849.0,0.0,13.3,28.7
324164,"Proximates, Onion rings, frozen, ALEXIA (CA2,NC) - NFY120675",0.0,0.0,0.0,0.0,15.0
324169,"Proximates, Onion rings, frozen, Store brand/other (AL,MI) - NFY12068R",0.0,0.0,0.0,0.0,15.7
324176,"Proximates, Onion rings, frozen, ORE-IDA (CA2,NC) - NFY12069K",0.0,0.0,0.0,0.0,12.8
324190,"Proximates, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068D",0.0,0.0,0.0,0.0,15.8
324192,"TDF, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068F",0.0,0.0,2.8,0.0,0.0
324209,"Proximates, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120696",0.0,0.0,0.0,0.0,12.6
324211,"TDF, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120698",0.0,0.0,1.9,0.0,0.0
324227,"Proximates, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067K",0.0,0.0,0.0,0.0,14.8
324229,"TDF, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067M",0.0,0.0,2.6,0.0,0.0
324246,"Proximates, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AS",0.0,0.0,0.0,0.0,13.7
324248,"TDF, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AU",0.0,0.0,2.6,0.0,0.0
324258,"Proximates, Onion rings, frozen, ALEXIA (IN,NY) - NFY12066A",0.0,0.0,0.0,0.0,15.8
324264,"Proximates, Onion rings, frozen, Store brand/other (CO,IN) - NFY12069Z",0.0,0.0,0.0,0.0,13.9
324266,"TDF, Onion rings, frozen, Store brand/other (CO,IN) - NFY1206A1",0.0,0.0,2.2,0.0,0.0
324285,"Proximates, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1206AE",0.0,0.0,0.0,0.0,12.6
324294,"TDF, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1207BC",0.0,0.0,1.8,0.0,0.0
324311,"Proximates, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066P",0.0,0.0,0.0,0.0,15.4
324313,"TDF, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066R",0.0,0.0,2.5,0.0,0.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",36.3,749.0,2.4,4.52,14.4
324324,"Proximates, Pickles, kosher dill, spears, VLASIC (FL,MO) - NFY120HMY",0.0,0.0,0.0,0.0,0.24
324331,"Proximates, Pickles, kosher dill, spears, VLASIC (CA2,NC) - NFY120HMD",0.0,0.0,0.0,0.0,0.36
324338,"Proximates, Pickles, kosher dill, spears, VLASIC (IN,NY) - NFY120HLM",0.0,0.0,0.0,0.0,0.3
324347,"Proximates, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMM",0.0,0.0,0.0,0.0,0.4
324349,"TDF, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMO",0.0,0.0,1.1,0.0,0.0
324358,"Proximates, Pickles, kosher dill, spears, CLAUSEN (IN,NY) - NFY120HNO",0.0,0.0,0.0,0.0,0.3
324365,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CA2,NC) - NFY120HOC",0.0,0.0,0.0,0.0,0.24
324377,"Proximates, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HN9",0.0,0.0,0.0,0.0,0.24
324380,"TDF, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HNC",0.0,0.0,1.0,0.0,0.0
324394,"Proximates, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HLX",0.0,0.0,0.0,0.0,0.32
324397,"TDF, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HM0",0.0,0.0,0.9,0.0,0.0
324409,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOK",0.0,0.0,0.0,0.0,0.2
324411,"TDF, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOM",0.0,0.0,1.1,0.0,0.0
324420,"Proximates, Pickles, kosher dill, spears, CLAUSEN (MI,OK) - NFY120HOV",0.0,0.0,0.0,0.0,0.36
324431,"Proximates, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HNX",0.0,0.0,0.0,0.0,0.35
324434,"TDF, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HO0",0.0,0.0,1.1,0.0,0.0
324444,"Proximates, Pickles, kosher dill, spears, store brand, AMERICAS CHOICE & SHOP RITE (NY,CT1) - NFY120HPJ",0.0,0.0,0.0,0.0,0.28
324451,"Proximates, Pickles, kosher dill, spears, store brand, HY VEE & PUBLIX (MO1,FL) - NFY120HQO",0.0,0.0,0.0,0.0,0.3
324458,"Proximates, Pickles, kosher dill, spears, store brand, FOOD LION & SUNNY SELECT (NC1,CA2) - NFY120HQ5",0.0,0.0,0.0,0.0,0.28
324465,"Proximates, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPR",0.0,0.0,0.0,0.0,0.25
324468,"TDF, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPU",0.0,0.0,1.0,0.0,0.0
324480,"Proximates, Pickles, kosher dill, spears, store brand, GREAT VALUE & GREAT VALUE (AL1,OK1) - NFY120HQD",0.0,0.0,0.0,0.0,0.36
324482,"TDF, Pickles, kosher dill, spears, store brand, GREAT VALUE & GREAT VALUE (AL1,OK1) - NFY120HQF",0.0,0.0,0.9,0.0,0.0
324496,"Proximates, Pickles, kosher dill, spears, CLAUSEN (FL,MO) - NFY120HP5",0.0,0.0,0.0,0.0,0.33
324499,"TDF, Pickles, kosher dill, spears, CLAUSEN (FL,MO) - NFY120HP8",0.0,0.0,1.3,0.0,0.0
324506,"Pickles, kosher dill",0.0,0.0,0.0,0.0,0.44
324524,"Proximates, Pickles, kosher dill, spears, store brand, KROGER (IN1,MI1) - NFY120HQX",0.0,0.0,0.0,0.0,0.37
324526,"TDF, Pickles, kosher dill, spears, store brand, KROGER (IN1,MI1) - NFY120HQZ",0.0,0.0,0.8,0.0,0.0
324653,"Pickles, cucumber, dill or kosher dill",1.99,31.0,1.0,0.48,0.43
324660,"Proximates, Peanut butter, creamy, SKIPPY (MI) - NFY120C7Y",0.0,0.0,0.0,0.0,50.2
324667,"Proximates, Peanut butter, creamy, SKIPPY (IN,NY) - NFY120C6F",0.0,0.0,0.0,0.0,50.4
324679,"Proximates, Peanut butter, creamy, SKIPPY (CO,CT) - NFY120C7L",0.0,0.0,0.0,0.0,50.3
324680,"TDF, Peanut butter, creamy, SKIPPY (CO,CT) - NFY120C7M",0.0,0.0,5.2,0.0,0.0
324688,"Proximates, Peanut butter, creamy, JIF (IN,NY) - NFY120C8R",0.0,0.0,0.0,0.0,52.0
324705,"Proximates, Peanut butter, creamy, SKIPPY (FL,MO) - NFY120C8D",0.0,0.0,0.0,0.0,49.7
324707,"TDF, Peanut butter, creamy, SKIPPY (FL,MO) - NFY120C8F",0.0,0.0,5.0,0.0,0.0
324714,"Proximates, Peanut butter, creamy, SKIPPY (AL,CA1) - NFY120C6T",0.0,0.0,0.0,0.0,50.8
324716,"TDF, Peanut butter, creamy, SKIPPY (AL,CA1) - NFY120C6V",0.0,0.0,3.8,0.0,0.0
324731,"Proximates, Peanut butter, creamy, JIF (CA2,NC) - NFY120C9J",0.0,0.0,0.0,0.0,51.8
324743,"Proximates, Peanut butter, creamy, JIF (AL,CA1) - NFY120C96",0.0,0.0,0.0,0.0,52.2
324744,"TDF, Peanut butter, creamy, JIF (AL,CA1) - NFY120C97",0.0,0.0,6.1,0.0,0.0
324753,"Proximates, Peanut butter, creamy, JIF (FL,MO) - NFY120CAA",0.0,0.0,0.0,0.0,51.4
324759,"Proximates, Peanut butter, creamy, store brand/other brand, AMERICAS CHOICE & GREAT VALUE (NY) - NFY120CB3",0.0,0.0,0.0,0.0,52.5
324765,"Proximates, Peanut butter, creamy, store brand/other brand, MY ESSENTIALS & SUNNY SELECT (CA2,NC) - NFY120CBW",0.0,0.0,0.0,0.0,50.0
324776,"Proximates, Peanut butter, creamy, JIF (CO,CT) - NFY120C9W",0.0,0.0,0.0,0.0,51.7
324778,"TDF, Peanut butter, creamy, JIF (CO,CT) - NFY120C9Y",0.0,0.0,5.2,0.0,0.0
324793,"Proximates, Peanut butter, creamy, JIF (MI,OK) - NFY120CAP",0.0,0.0,0.0,0.0,52.7
324795,"TDF, Peanut butter, creamy, JIF (MI,OK) - NFY120CAR",0.0,0.0,4.7,0.0,0.0
324804,"Proximates, Peanut butter, creamy, store brand/other brand, HYVEE & PUBLIX (FL,MO) - NFY120CCO",0.0,0.0,0.0,0.0,51.0
324817,"Proximates, Peanut butter, creamy, store brand/other brand, GREAT VALUE (AL,OK) - NFY120CBI",0.0,0.0,0.0,0.0,50.2
324819,"TDF, Peanut butter, creamy, store brand/other brand, GREAT VALUE (AL,OK) - NFY120CBK",0.0,0.0,4.9,0.0,0.0
324833,"Proximates, Peanut butter, creamy, store brand/other brand, KROGER (IN,MI) - NFY120CCA",0.0,0.0,0.0,0.0,51.2
324835,"TDF, Peanut butter, creamy, store brand/other brand, KROGER (IN,MI) - NFY120CCC",0.0,0.0,4.8,0.0,0.0
